Experiment	GeneId	Symbol	Control_transcript	Case_transcript	CDS_control	CDS_case	CDS_change	UTR_change	Samples	Driver	num_samples
AML	ENSG00000071127.16	WDR1	ENST00000499869.6	ENST00000382451.6	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PATDNN-04	Driver interactor	3
AML	ENSG00000145293.14	ENOPH1	ENST00000273920.7	ENST00000610545.1	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PATDNN-04	No	3
AML	ENSG00000197894.10	ADH5	ENST00000626055.2	ENST00000296412.12	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PARLVL-04,TARGET-20-PASCRZ-04,TARGET-20-PASVYA-04	No	4
AML	ENSG00000249915.7	PDCD6	ENST00000618970.4	ENST00000614778.4	1	1	1	1	TARGET-20-PALGKX-04,TARGET-20-PATDNN-04	No	2
AML	ENSG00000164327.12	RICTOR	ENST00000357387.7	ENST00000296782.9	1	1	1	1	TARGET-20-PAEIKD-04,TARGET-20-PARDDY-04,TARGET-20-PASHYZ-04,TARGET-20-PASWAJ-04	Driver	4
AML	ENSG00000164172.18	MOCS2	ENST00000450852.7	ENST00000361377.8	1	1	0	1	TARGET-20-PAEDKB-04,TARGET-20-PALGKX-04	No	2
AML	ENSG00000177556.11	ATOX1	ENST00000313115.10	ENST00000521264.5	1	1	1	1	TARGET-20-PAEDKB-04,TARGET-20-PASCRZ-04,TARGET-20-PASPLU-04	No	3
AML	ENSG00000158373.8	HIST1H2BD	ENST00000377777.5	ENST00000289316.2	1	1	0	1	TARGET-20-PAKERZ-04,TARGET-20-PARBIU-04,TARGET-20-PARLVL-04,TARGET-20-PATDNN-04	Driver	4
AML	ENSG00000234127.8	TRIM26	ENST00000453195.5	ENST00000437089.5	1	1	0	1	TARGET-20-PADZCG-04,TARGET-20-PAKERZ-04,TARGET-20-PARCZL-04,TARGET-20-PASVVS-04	No	4
AML	ENSG00000213676.10	ATF6B	ENST00000375203.7	ENST00000375201.8	1	1	1	1	TARGET-20-PAEDKB-04,TARGET-20-PARLVL-04,TARGET-20-PASCRZ-04,TARGET-20-PASHYZ-04	No	4
AML	ENSG00000146278.10	PNRC1	ENST00000369472.1	ENST00000336032.3	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PARCZL-04,TARGET-20-PATDNN-04	Driver	4
AML	ENSG00000025039.14	RRAGD	ENST00000369415.8	ENST00000359203.3	1	1	1	1	TARGET-20-PAKTCX-04,TARGET-20-PARLVL-04,TARGET-20-PASCRZ-04,TARGET-20-PATIAK-04	Driver interactor	4
AML	ENSG00000079950.13	STX7	ENST00000367937.4	ENST00000367941.6	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAEDKB-04,TARGET-20-PASCRZ-04,TARGET-20-PASINN-04	No	4
AML	ENSG00000122674.11	CCZ1	ENST00000325974.8	ENST00000628813.2	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAEDKB-04,TARGET-20-PAKTCX-04,TARGET-20-PATDNN-04	No	4
AML	ENSG00000228903.6	RASA4CP	ENST00000424092.1	ENST00000446874.5	0	0	0	1	TARGET-20-PABLDZ-04,TARGET-20-PASJGZ-04,TARGET-20-PASMYS-04,TARGET-20-PATDNN-04	No	4
AML	ENSG00000129103.17	SUMF2	ENST00000434526.6	ENST00000275607.13	1	1	1	1	TARGET-20-PALGKX-04,TARGET-20-PASJGZ-04,TARGET-20-PATDNN-04	No	3
AML	ENSG00000006652.13	IFRD1	ENST00000403825.7	ENST00000621379.4	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PASCGR-04,TARGET-20-PATDNN-04	Driver interactor	3
AML	ENSG00000147677.10	EIF3H	ENST00000611080.1	ENST00000521861.5	1	1	1	1	TARGET-20-PAKERZ-04,TARGET-20-PAMYAS-04,TARGET-20-PARYVW-04,TARGET-20-PATIAK-04	Driver interactor	4
AML	ENSG00000180900.16	SCRIB	ENST00000320476.7	ENST00000377533.7	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PARLVL-04	Driver interactor	3
AML	ENSG00000137055.14	PLAA	ENST00000520884.5	ENST00000397292.7	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PARCZL-04,TARGET-20-PATDNN-04	No	4
AML	ENSG00000213930.11	GALT	ENST00000450095.6	ENST00000378842.7	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PASCRZ-04,TARGET-20-PASJGZ-04,TARGET-20-PASYJI-04	No	4
AML	ENSG00000107175.10	CREB3	ENST00000353704.2	ENST00000613913.4	1	1	1	1	TARGET-20-PADZCG-04,TARGET-20-PALGKX-04,TARGET-20-PARYFN-04,TARGET-20-PATDNN-04	No	4
AML	ENSG00000136937.12	NCBP1	ENST00000375147.7	ENST00000629069.1	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PALGKX-04,TARGET-20-PAMYAS-04,TARGET-20-PASJGZ-04	No	4
AML	ENSG00000136891.13	TEX10	ENST00000374902.8	ENST00000535814.5	1	1	1	1	TARGET-20-PADZCG-04,TARGET-20-PAKERZ-04,TARGET-20-PARBIU-04,TARGET-20-PATDNN-04	No	4
AML	ENSG00000136870.10	ZNF189	ENST00000374861.7	ENST00000339664.6	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PADZCG-04,TARGET-20-PAKIWK-04,TARGET-20-PASHYZ-04	No	4
AML	ENSG00000119318.12	RAD23B	ENST00000358015.7	ENST00000416373.6	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAEDKB-04,TARGET-20-PASBBE-04,TARGET-20-PATDNN-04	No	4
AML	ENSG00000197958.12	RPL12	ENST00000361436.9	ENST00000536368.1	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAEDKB-04,TARGET-20-PASCRZ-04,TARGET-20-PASJGZ-04	Driver interactor	4
AML	ENSG00000130713.15	EXOSC2	ENST00000372358.9	ENST00000546165.5	1	1	1	1	TARGET-20-PASCRZ-04,TARGET-20-PASMYS-04	No	2
AML	ENSG00000228651.1	RP11-556E13.1	ENST00000443523.1	ENST00000448017.1	0	0	0	1	TARGET-20-PADZCG-04,TARGET-20-PALGKX-04,TARGET-20-PARBIU-04,TARGET-20-PASWAJ-04	No	4
AML	ENSG00000150347.14	ARID5B	ENST00000309334.5	ENST00000279873.11	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PARLVL-04,TARGET-20-PATDNN-04	Driver	4
AML	ENSG00000122877.13	EGR2	ENST00000242480.3	ENST00000411732.2	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PARDDY-04,TARGET-20-PARLVL-04	No	4
AML	ENSG00000197746.13	PSAP	ENST00000394936.7	ENST00000610929.3	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PARLVL-04,TARGET-20-PATDNN-04	No	4
