Experiment	GeneId	Transcript	Expression	Feature_type	Feature	Index	Length	Start	End
ALL	ENSG00000276747.1	ENST00000619609.1	0.009999639102394372	Pfam	PF08526	1	111	9	120
ALL	ENSG00000276747.1	ENST00000619609.1	0.009999639102394372	Pfam	PF03068	1	406	288	694
ALL	ENSG00000276747.1	ENST00000619609.1	0.009999639102394372	Pfam	PF08527	1	159	122	281
ALL	ENSG00000179799.8	ENST00000478335.1	0.019999517644104813	Transcript					
ALL	ENSG00000240733.3	ENST00000481857.3	1.579959050553961	Transcript					
ALL	ENSG00000224706.1	ENST00000448974.1	0.040000917377944104	Transcript					
ALL	ENSG00000269907.1	ENST00000602494.1	0.729978054906192	Transcript					
ALL	ENSG00000226159.1	ENST00000428485.1	0.040000917377944104	Transcript					
ALL	ENSG00000166165.12	ENST00000348956.6	0.29000180360945776	Transcript					
ALL	ENSG00000166165.12	ENST00000348956.6	0.29000180360945776	Pfam	PF02807	1	79	21	100
ALL	ENSG00000166165.12	ENST00000348956.6	0.29000180360945776	Pfam	PF00217	1	245	121	366
ALL	ENSG00000166165.12	ENST00000348956.6	0.29000180360945776	Prosite	PS00112	1	6	283	289
ALL	ENSG00000157933.9	ENST00000378536.4	12.779744738764808	Transcript					
ALL	ENSG00000157933.9	ENST00000378536.4	12.779744738764808	Pfam	PF08782	1	95	217	312
ALL	ENSG00000157933.9	ENST00000378536.4	12.779744738764808	Pfam	PF02437	1	109	81	190
ALL	ENSG00000180616.8	ENST00000357585.3	0.0700018290491679	Transcript					
ALL	ENSG00000180616.8	ENST00000357585.3	0.0700018290491679	Pfam	PF00001	1	252	60	312
ALL	ENSG00000180616.8	ENST00000357585.3	0.0700018290491679	Prosite	PS00237	1	16	128	144
ALL	ENSG00000236278.2	ENST00000455475.2	0.14000321863040419	Transcript					
ALL	ENSG00000226942.2	ENST00000442856.1	0.0899993468124429	Transcript					
ALL	ENSG00000274292.1	ENST00000613093.1	1.6400281649219188	Transcript					
ALL	ENSG00000227799.1	ENST00000430010.1	0.3899890203948566	Transcript					
ALL	ENSG00000225084.1	ENST00000414776.1	0.040000917377944104	Transcript					
ALL	ENSG00000225422.4	ENST00000417216.3	0.5899876960796653	Transcript					
ALL	ENSG00000227630.2	ENST00000437601.2	0.04999854862398112	Transcript					
ALL	ENSG00000253755.1	ENST00000390555.3	0.3899890203948566	Transcript					
ALL	ENSG00000232952.1	ENST00000415279.1	0.019999517644104813	Transcript					
ALL	ENSG00000228302.2	ENST00000421657.1	3.479995622952693	Transcript					
ALL	ENSG00000171496.3	ENST00000304865.3	0.060001985048514034	Transcript					
ALL	ENSG00000171496.3	ENST00000304865.3	0.060001985048514034	Pfam	PF13853	1	139	142	281
ALL	ENSG00000171496.3	ENST00000304865.3	0.060001985048514034	Prosite	PS00237	1	16	111	127
ALL	ENSG00000051009.10	ENST00000449352.6	2.020042976142629	Transcript					
ALL	ENSG00000051009.10	ENST00000449352.6	2.020042976142629	Pfam	PF10257	1	329	97	426
ALL	ENSG00000183172.8	ENST00000331479.3	15.70016822667766	Transcript					
ALL	ENSG00000183172.8	ENST00000331479.3	15.70016822667766	Pfam	PF10161	1	76	31	107
ALL	ENSG00000255220.1	ENST00000534547.1	0.1700037656548274	Transcript					
ALL	ENSG00000155393.12	ENST00000299192.7	2.290035795959514	Transcript					
ALL	ENSG00000155393.12	ENST00000299192.7	2.290035795959514	Pfam	PF13513	1	53	53	106
ALL	ENSG00000254419.1	ENST00000530479.1	0.25999607209761366	Transcript					
ALL	ENSG00000233189.1	ENST00000425565.1	0.0700018290491679	Transcript					
ALL	ENSG00000237846.1	ENST00000414297.1	0.20000454105956791	Transcript					
ALL	ENSG00000169220.17	ENST00000408923.7	2.840002300993455	Transcript					
ALL	ENSG00000169220.17	ENST00000408923.7	2.840002300993455	Pfam	PF00615	1	115	67	182
ALL	ENSG00000169220.17	ENST00000408923.7	2.840002300993455	Pfam	PF02196	1	70	302	372
ALL	ENSG00000169220.17	ENST00000408923.7	2.840002300993455	Pfam	PF02196	1	57	386	443
ALL	ENSG00000169220.17	ENST00000408923.7	2.840002300993455	Pfam	PF02188	1	21	499	520
ALL	ENSG00000273293.1	ENST00000608912.1	0.5399998128169408	Transcript					
ALL	ENSG00000242960.1	ENST00000492727.1	0.2700066202855875	Transcript					
ALL	ENSG00000135702.14	ENST00000336257.7	0.019999517644104813	Transcript					
ALL	ENSG00000135702.14	ENST00000336257.7	0.019999517644104813	Pfam	PF00685	1	314	64	378
ALL	ENSG00000260093.1	ENST00000562143.1	0.040000917377944104	Transcript					
ALL	ENSG00000236095.1	ENST00000416455.1	0.37000229077762503	Transcript					
ALL	ENSG00000260822.1	ENST00000568479.1	1.7299931312968873	Transcript					
ALL	ENSG00000224401.2	ENST00000423238.1	0.12999648446658976	Transcript					
ALL	ENSG00000273523.1	ENST00000613982.1	0.009999639102394372	Transcript					
ALL	ENSG00000234572.1	ENST00000445865.1	0.10999757015245683	Transcript					
ALL	ENSG00000261140.1	ENST00000562232.1	1.8699876037270597	Transcript					
ALL	ENSG00000164609.9	ENST00000297151.8	12.289741065819987	Transcript					
ALL	ENSG00000164609.9	ENST00000297151.8	12.289741065819987	Pfam	PF11708	1	273	161	434
ALL	ENSG00000230665.3	ENST00000398672.3	0.009999639102394372	Transcript					
ALL	ENSG00000271986.2	ENST00000607480.2	0.4599876480687464	Transcript					
ALL	ENSG00000236762.1	ENST00000433839.1	0.04999854862398112	Transcript					
ALL	ENSG00000232613.6	ENST00000622718.1	0.2399991561447902	Transcript					
ALL	ENSG00000238084.4	ENST00000419297.2	0.12999648446658976	Transcript					
ALL	ENSG00000128045.6	ENST00000248706.4	0.04999854862398112	Transcript					
ALL	ENSG00000128045.6	ENST00000248706.4	0.04999854862398112	Pfam	PF00071	1	166	35	201
ALL	ENSG00000186940.6	ENST00000461726.1	0.04999854862398112	Transcript					
ALL	ENSG00000240233.3	ENST00000459853.3	1.169966660228584	Transcript					
ALL	ENSG00000256262.1	ENST00000478808.2	1.679977017469785	Transcript					
ALL	ENSG00000212664.5	ENST00000498103.1	1.3299902472237433	Transcript					
ALL	ENSG00000260992.1	ENST00000562781.1	0.0700018290491679	Transcript					
ALL	ENSG00000119929.12	ENST00000370476.9	7.449824079368012	Transcript					
ALL	ENSG00000119929.12	ENST00000370476.9	7.449824079368012	Pfam	PF03932	1	199	27	226
ALL	ENSG00000273080.1	ENST00000610262.1	0.7500079057650569	Transcript					
ALL	ENSG00000213188.3	ENST00000392794.3	0.23000564311170585	Transcript					
ALL	ENSG00000198642.6	ENST00000359039.4	2.269956387301689	Transcript					
ALL	ENSG00000198642.6	ENST00000359039.4	2.269956387301689	Pfam	PF01344	1	39	394	433
ALL	ENSG00000198642.6	ENST00000359039.4	2.269956387301689	Pfam	PF01344	1	50	336	386
ALL	ENSG00000198642.6	ENST00000359039.4	2.269956387301689	Pfam	PF01344	1	46	485	531
ALL	ENSG00000198642.6	ENST00000359039.4	2.269956387301689	Pfam	PF01344	1	42	437	479
ALL	ENSG00000198642.6	ENST00000359039.4	2.269956387301689	Pfam	PF01344	1	41	536	577
ALL	ENSG00000198642.6	ENST00000359039.4	2.269956387301689	Pfam	PF00651	1	106	40	146
ALL	ENSG00000198642.6	ENST00000359039.4	2.269956387301689	Pfam	PF07707	1	101	154	255
ALL	ENSG00000059769.19	ENST00000313525.3	0.5600106252108901	Transcript					
ALL	ENSG00000059769.19	ENST00000313525.3	0.5600106252108901	Pfam	PF00226	1	72	49	121
ALL	ENSG00000110048.11	ENST00000263847.5	13.510350701787866	Transcript					
ALL	ENSG00000110048.11	ENST00000263847.5	13.510350701787866	Pfam	PF01237	1	375	418	793
ALL	ENSG00000110048.11	ENST00000263847.5	13.510350701787866	Pfam	PF00169	1	87	91	178
ALL	ENSG00000110048.11	ENST00000263847.5	13.510350701787866	Prosite	PS01013	1	10	518	528
ALL	ENSG00000219074.1	ENST00000407803.1	0.0800019247705772	Transcript					
ALL	ENSG00000008226.19	ENST00000308059.10	0.009999639102394372	Transcript					
ALL	ENSG00000270421.1	ENST00000602989.1	0.29000180360945776	Transcript					
ALL	ENSG00000231560.1	ENST00000420905.1	0.009999639102394372	Transcript					
ALL	ENSG00000267742.1	ENST00000591086.1	0.2399991561447902	Transcript					
ALL	ENSG00000234193.1	ENST00000446709.1	0.5899876960796653	Transcript					
ALL	ENSG00000132383.11	ENST00000254719.9	8.279971324769777	Transcript					
ALL	ENSG00000132383.11	ENST00000254719.9	8.279971324769777	Pfam	PF01336	1	84	197	281
ALL	ENSG00000132383.11	ENST00000254719.9	8.279971324769777	Pfam	PF08646	1	145	461	606
ALL	ENSG00000132383.11	ENST00000254719.9	8.279971324769777	Pfam	PF04057	1	99	5	104
ALL	ENSG00000204390.9	ENST00000375654.4	0.33998968423545123	Transcript					
ALL	ENSG00000204390.9	ENST00000375654.4	0.33998968423545123	Pfam	PF00012	1	606	8	614
ALL	ENSG00000204390.9	ENST00000375654.4	0.33998968423545123	Prosite	PS00329	1	13	199	212
ALL	ENSG00000204390.9	ENST00000375654.4	0.33998968423545123	Prosite	PS00297	1	7	11	18
ALL	ENSG00000204390.9	ENST00000375654.4	0.33998968423545123	Prosite	PS01036	1	14	336	350
ALL	ENSG00000273341.1	ENST00000608884.1	0.0800019247705772	Transcript					
ALL	ENSG00000173545.4	ENST00000308683.2	11.229887239809589	Transcript					
ALL	ENSG00000173545.4	ENST00000308683.2	11.229887239809589	Pfam	PF12171	1	23	68	91
ALL	ENSG00000173545.4	ENST00000308683.2	11.229887239809589	Pfam	PF12756	1	99	253	352
ALL	ENSG00000173545.4	ENST00000308683.2	11.229887239809589	Prosite	PS00028	1	22	6	28
ALL	ENSG00000173545.4	ENST00000308683.2	11.229887239809589	Prosite	PS00028	1	22	69	91
ALL	ENSG00000270083.1	ENST00000602718.1	2.6299794865184314	Transcript					
ALL	ENSG00000198406.7	ENST00000473537.1	10.53021509883476	Transcript					
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Transcript					
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Pfam	PF01352	1	40	4	44
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Pfam	PF00096	1	22	103	125
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Pfam	PF13465	1	22	156	178
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Pfam	PF13465	1	23	433	456
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Pfam	PF13465	1	24	377	401
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Pfam	PF13465	1	23	238	261
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Pfam	PF13465	1	22	574	596
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Pfam	PF13465	1	22	294	316
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Pfam	PF13465	1	22	462	484
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Pfam	PF13465	1	21	603	624
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Pfam	PF13465	1	22	184	206
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Pfam	PF13465	1	23	266	289
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Pfam	PF13465	1	20	548	568
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Pfam	PF13465	1	23	322	345
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Pfam	PF13465	1	23	490	513
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Pfam	PF13465	1	24	405	429
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Pfam	PF13465	1	22	351	373
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Pfam	PF13465	1	24	517	541
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Prosite	PS00028	1	20	253	273
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Prosite	PS00028	1	20	449	469
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Prosite	PS00028	1	20	365	385
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Prosite	PS00028	1	20	225	245
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Prosite	PS00028	1	20	477	497
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Prosite	PS00028	1	20	337	357
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Prosite	PS00028	1	20	589	609
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Prosite	PS00028	1	20	561	581
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Prosite	PS00028	1	20	171	191
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Prosite	PS00028	1	20	309	329
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Prosite	PS00028	1	20	617	637
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Prosite	PS00028	1	20	393	413
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Prosite	PS00028	1	20	533	553
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Prosite	PS00028	1	20	421	441
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Prosite	PS00028	1	20	281	301
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Prosite	PS00028	1	20	505	525
ALL	ENSG00000105708.8	ENST00000344099.3	5.100070359187957	Prosite	PS00028	1	20	105	125
ALL	ENSG00000235027.1	ENST00000449248.1	0.060001985048514034	Transcript					
ALL	ENSG00000279182.1	ENST00000623684.1	0.10999757015245683	Transcript					
ALL	ENSG00000138050.14	ENST00000505747.5	4.659872345165267	Transcript					
ALL	ENSG00000138050.14	ENST00000505747.5	4.659872345165267	Pfam	PF01170	1	138	274	412
ALL	ENSG00000138050.14	ENST00000505747.5	4.659872345165267	Pfam	PF02926	1	75	180	255
ALL	ENSG00000163082.9	ENST00000321276.7	0.44001511270093324	Transcript					
ALL	ENSG00000163082.9	ENST00000321276.7	0.44001511270093324	Pfam	PF01569	1	112	121	233
ALL	ENSG00000236901.4	ENST00000449175.1	3.279919052884565	Transcript					
ALL	ENSG00000268140.1	ENST00000595406.1	0.0899993468124429	Transcript					
ALL	ENSG00000277782.1	ENST00000620635.1	0.8499816924419489	Transcript					
ALL	ENSG00000278700.1	ENST00000613380.1	0.6700071293324552	Transcript					
ALL	ENSG00000212993.4	ENST00000465342.3	0.019999517644104813	Transcript					
ALL	ENSG00000212993.4	ENST00000465342.3	0.019999517644104813	Pfam	PF00157	1	71	141	212
ALL	ENSG00000212993.4	ENST00000465342.3	0.019999517644104813	Pfam	PF00046	1	55	231	286
ALL	ENSG00000212993.4	ENST00000465342.3	0.019999517644104813	Prosite	PS00027	1	23	262	285
ALL	ENSG00000212993.4	ENST00000465342.3	0.019999517644104813	Prosite	PS00035	1	12	156	168
ALL	ENSG00000212993.4	ENST00000465342.3	0.019999517644104813	Prosite	PS00465	1	13	180	193
ALL	ENSG00000273796.1	ENST00000617004.1	0.0700018290491679	Transcript					
ALL	ENSG00000164619.8	ENST00000297161.6	0.009999639102394372	Transcript					
ALL	ENSG00000164619.8	ENST00000297161.6	0.009999639102394372	Pfam	PF01826	1	53	629	682
ALL	ENSG00000164619.8	ENST00000297161.6	0.009999639102394372	Pfam	PF00093	1	58	166	224
ALL	ENSG00000164619.8	ENST00000297161.6	0.009999639102394372	Pfam	PF00093	1	56	301	357
ALL	ENSG00000164619.8	ENST00000297161.6	0.009999639102394372	Pfam	PF08742	1	70	555	625
ALL	ENSG00000164619.8	ENST00000297161.6	0.009999639102394372	Pfam	PF00094	1	145	364	509
ALL	ENSG00000164619.8	ENST00000297161.6	0.009999639102394372	Prosite	PS01208	1	38	186	224
ALL	ENSG00000164619.8	ENST00000297161.6	0.009999639102394372	Prosite	PS01208	1	38	67	105
ALL	ENSG00000164619.8	ENST00000297161.6	0.009999639102394372	Prosite	PS01208	1	38	319	357
ALL	ENSG00000071859.14	ENST00000393600.7	10.479967548316942	Transcript					
ALL	ENSG00000071859.14	ENST00000393600.7	10.479967548316942	Pfam	PF04921	1	228	110	338
ALL	ENSG00000280055.1	ENST00000624314.1	0.029999741597562815	Transcript					
ALL	ENSG00000259463.1	ENST00000558101.1	0.37000229077762503	Transcript					
ALL	ENSG00000247679.2	ENST00000499900.2	3.180043278365055	Transcript					
ALL	ENSG00000237682.2	ENST00000392722.3	0.009999639102394372	Transcript					
ALL	ENSG00000166855.9	ENST00000300107.7	4.489885688294433	Transcript					
ALL	ENSG00000166855.9	ENST00000300107.7	4.489885688294433	Pfam	PF10431	1	72	509	581
ALL	ENSG00000166855.9	ENST00000300107.7	4.489885688294433	Pfam	PF07724	1	217	285	502
ALL	ENSG00000078237.5	ENST00000179259.5	3.3400463565424205	Transcript					
ALL	ENSG00000078237.5	ENST00000179259.5	3.3400463565424205	Pfam	PF00300	1	140	6	146
ALL	ENSG00000078237.5	ENST00000179259.5	3.3400463565424205	Prosite	PS00175	1	9	8	17
ALL	ENSG00000204283.3	ENST00000374983.3	0.019999517644104813	Transcript					
ALL	ENSG00000233954.6	ENST00000483273.2	1.7000198776065194	Transcript					
ALL	ENSG00000233954.6	ENST00000483273.2	1.7000198776065194	Pfam	PF02320	1	64	27	91
ALL	ENSG00000225125.2	ENST00000413361.2	0.0800019247705772	Transcript					
ALL	ENSG00000214016.3	ENST00000412542.1	0.920017197435768	Transcript					
ALL	ENSG00000272853.1	ENST00000609399.1	0.4599876480687464	Transcript					
ALL	ENSG00000268129.1	ENST00000597953.1	0.3800097970829733	Transcript					
ALL	ENSG00000237821.1	ENST00000421179.1	0.12999648446658976	Transcript					
ALL	ENSG00000176732.6	ENST00000313213.4	0.04999854862398112	Transcript					
ALL	ENSG00000176732.6	ENST00000313213.4	0.04999854862398112	Pfam	PF00235	1	114	10	124
ALL	ENSG00000233072.1	ENST00000420703.1	1.0700308231914548	Transcript					
ALL	ENSG00000277449.1	ENST00000613921.1	0.0899993468124429	Transcript					
ALL	ENSG00000167183.2	ENST00000300557.2	0.060001985048514034	Transcript					
ALL	ENSG00000167183.2	ENST00000300557.2	0.060001985048514034	Pfam	PF15321	1	82	7	89
ALL	ENSG00000095380.10	ENST00000210444.5	8.839941408172196	Transcript					
ALL	ENSG00000095380.10	ENST00000210444.5	8.839941408172196	Pfam	PF08666	1	54	294	348
ALL	ENSG00000095380.10	ENST00000210444.5	8.839941408172196	Pfam	PF03102	1	238	39	277
ALL	ENSG00000220925.2	ENST00000403371.2	0.23000564311170585	Transcript					
ALL	ENSG00000176076.7	ENST00000372101.3	0.10999757015245683	Transcript					
ALL	ENSG00000279528.1	ENST00000623114.1	1.579959050553961	Transcript					
ALL	ENSG00000279568.1	ENST00000624961.1	1.0100119151242848	Transcript					
ALL	ENSG00000272910.1	ENST00000608818.1	0.5899876960796653	Transcript					
ALL	ENSG00000271537.1	ENST00000604318.1	0.0899993468124429	Transcript					
ALL	ENSG00000162068.1	ENST00000293973.1	0.060001985048514034	Transcript					
ALL	ENSG00000162068.1	ENST00000293973.1	0.060001985048514034	Pfam	PF00053	1	55	311	366
ALL	ENSG00000162068.1	ENST00000293973.1	0.060001985048514034	Pfam	PF00053	1	42	374	416
ALL	ENSG00000162068.1	ENST00000293973.1	0.060001985048514034	Pfam	PF00053	1	43	255	298
ALL	ENSG00000162068.1	ENST00000293973.1	0.060001985048514034	Pfam	PF01759	1	113	457	570
ALL	ENSG00000162068.1	ENST00000293973.1	0.060001985048514034	Pfam	PF00055	1	213	40	253
ALL	ENSG00000162068.1	ENST00000293973.1	0.060001985048514034	Prosite	PS01248	1	28	393	421
ALL	ENSG00000162068.1	ENST00000293973.1	0.060001985048514034	Prosite	PS01248	1	36	338	374
ALL	ENSG00000162068.1	ENST00000293973.1	0.060001985048514034	Prosite	PS01248	1	34	274	308
ALL	ENSG00000261535.1	ENST00000566572.1	3.4100124010224424	Transcript					
ALL	ENSG00000273419.1	ENST00000608963.1	0.14000321863040419	Transcript					
ALL	ENSG00000257643.1	ENST00000548906.1	0.3899890203948566	Transcript					
ALL	ENSG00000235036.4	ENST00000456064.1	0.37000229077762503	Transcript					
ALL	ENSG00000269425.1	ENST00000598582.1	0.15999636271947112	Transcript					
ALL	ENSG00000255476.1	ENST00000533659.1	0.040000917377944104	Transcript					
ALL	ENSG00000229152.2	ENST00000426991.2	8.72971616259571	Transcript					
ALL	ENSG00000273212.1	ENST00000608816.1	0.8400129963301876	Transcript					
ALL	ENSG00000267474.1	ENST00000589702.1	0.319989942599089	Transcript					
ALL	ENSG00000133302.12	ENST00000265140.9	0.6900203008692773	Transcript					
ALL	ENSG00000133302.12	ENST00000265140.9	0.6900203008692773	Pfam	PF00023	1	28	874	902
ALL	ENSG00000133302.12	ENST00000265140.9	0.6900203008692773	Pfam	PF12796	1	77	792	869
ALL	ENSG00000175073.7	ENST00000310421.4	3.7500643166311547	Transcript					
ALL	ENSG00000175073.7	ENST00000310421.4	3.7500643166311547	Pfam	PF02338	1	140	215	355
ALL	ENSG00000279834.1	ENST00000625077.1	0.029999741597562815	Transcript					
ALL	ENSG00000110107.8	ENST00000227524.8	10.729906137835393	Transcript					
ALL	ENSG00000110107.8	ENST00000227524.8	10.729906137835393	Pfam	PF00400	1	37	466	503
ALL	ENSG00000110107.8	ENST00000227524.8	10.729906137835393	Pfam	PF00400	1	25	353	378
ALL	ENSG00000110107.8	ENST00000227524.8	10.729906137835393	Pfam	PF00400	1	36	384	420
ALL	ENSG00000110107.8	ENST00000227524.8	10.729906137835393	Pfam	PF00400	1	36	256	292
