Experiment	GeneId	Symbol	Control_transcript	Case_transcript	CDS_control	CDS_case	CDS_change	UTR_change	Samples	Driver	num_samples	Pfam_change	Prosite_change	Functional	p_recurrent
ALL	ENSG00000089009.15	RPL6	ENST00000202773.13	ENST00000424576.6	1	1	0	1	TARGET-10-PANUSN-04,TARGET-10-PAPDJM-04,TARGET-10-PAPHJF-04,TARGET-10-PAPNMY-04,TARGET-10-PAPZNK-04,TARGET-10-PARFTR-04,TARGET-10-PARMSP-04	Driver interactor	7	FALSE	FALSE	No	0.01255265901386819
ALL	ENSG00000103512.14	NOMO1	ENST00000287667.11	ENST00000610363.4	1	1	1	1	TARGET-10-PAPDUV-04,TARGET-10-PAPECF-04,TARGET-10-PAPJHB-04,TARGET-10-PAPMFI-04,TARGET-10-PARAKF-04,TARGET-10-PARFLV-04,TARGET-10-PARIAD-04	No	7	TRUE	FALSE	Yes	0.01255265901386819
ALL	ENSG00000085721.12	RRN3	ENST00000198767.10	ENST00000429751.6	1	1	1	1	TARGET-10-PAPEFH-04,TARGET-10-PAPHJF-04,TARGET-10-PAPIJB-04,TARGET-10-PAPLDL-04,TARGET-10-PAPLTZ-04,TARGET-10-PARGVZ-04,TARGET-10-PARJSR-04	No	7	FALSE	FALSE	No	0.01255265901386819
ALL	ENSG00000214940.8	NPIPA8	ENST00000525596.5	ENST00000541810.5	1	1	0	1	TARGET-10-PANXPE-04,TARGET-10-PAPJIB-04,TARGET-10-PAPLDL-04,TARGET-10-PAPNMY-04,TARGET-10-PAPZST-04,TARGET-10-PARGHW-04,TARGET-10-PATCTI-04	No	7	FALSE	FALSE	No	0.01255265901386819
ALL	ENSG00000179094.13	PER1	ENST00000317276.8	ENST00000354903.9	1	1	1	1	TARGET-10-PANTSM-04,TARGET-10-PAPHJF-04,TARGET-10-PAPLDL-04,TARGET-10-PAPLTZ-04,TARGET-10-PAPZST-04,TARGET-10-PARJSR-04,TARGET-10-PASKAY-04	No	7	TRUE	FALSE	Yes	0.01255265901386819
ALL	ENSG00000173991.5	TCAP	ENST00000309889.2	ENST00000578283.1	1	1	1	1	TARGET-10-PANYYV-04,TARGET-10-PAPEFH-04,TARGET-10-PAPJIB-04,TARGET-10-PAPZNK-04,TARGET-10-PARGHW-04,TARGET-10-PARJZZ-04,TARGET-10-PATCTI-04	Driver interactor	7	FALSE	FALSE	No	0.01255265901386819
ALL	ENSG00000263142.5	LRRC37A17P	ENST00000570311.1	ENST00000570478.5	0	0	0	1	TARGET-10-PAPEFH-04,TARGET-10-PAPMFI-04,TARGET-10-PAPNNX-04,TARGET-10-PARFLV-04,TARGET-10-PARJZZ-04,TARGET-10-PARLAF-04,TARGET-10-PARXMC-04	No	7	FALSE	FALSE	No	0.01255265901386819
ALL	ENSG00000265218.1	RP11-927P21.1	ENST00000584959.1	ENST00000577938.1	0	0	0	1	TARGET-10-PANTSM-04,TARGET-10-PAPNNX-04,TARGET-10-PAPRCS-04,TARGET-10-PAPZNK-04,TARGET-10-PARGHW-04,TARGET-10-PARNMF-04,TARGET-10-PATCTI-04	No	7	FALSE	FALSE	No	0.01255265901386819
ALL	ENSG00000178951.8	ZBTB7A	ENST00000322357.8	ENST00000601588.1	1	1	0	1	TARGET-10-PAPAGK-04,TARGET-10-PAPNNX-04,TARGET-10-PAPVTA-04,TARGET-10-PARBVI-04,TARGET-10-PARGFV-04,TARGET-10-PARIAD-04,TARGET-10-PARLAF-04	Driver	7	FALSE	FALSE	No	0.01255265901386819
ALL	ENSG00000011332.19	DPF1	ENST00000414789.5	ENST00000614244.4	1	1	1	1	TARGET-10-PANTSM-04,TARGET-10-PAPAGK-04,TARGET-10-PAPNNX-04	Driver interactor	3	FALSE	FALSE	No	0.45309753864995794
ALL	ENSG00000255730.4	CTC-435M10.3	ENST00000629812.1	ENST00000540732.3	1	1	0	1	TARGET-10-PANYYV-04,TARGET-10-PAPDUV-04,TARGET-10-PAPEAB-04,TARGET-10-PAPJIB-04,TARGET-10-PAPLDL-04,TARGET-10-PARBRK-04,TARGET-10-PARGFV-04	No	7	FALSE	FALSE	No	0.01255265901386819
ALL	ENSG00000105402.7	NAPA	ENST00000263354.7	ENST00000595227.5	1	1	1	1	TARGET-10-PANUSN-04,TARGET-10-PANYGB-04,TARGET-10-PAPDWT-04,TARGET-10-PAPEJN-04,TARGET-10-PAPNFY-04,TARGET-10-PAPZST-04,TARGET-10-PARBVI-04	No	7	FALSE	FALSE	No	0.01255265901386819
ALL	ENSG00000101464.10	PIGU	ENST00000217446.7	ENST00000374820.6	1	1	1	1	TARGET-10-PAPAGK-04,TARGET-10-PAPJHB-04,TARGET-10-PAPVTA-04,TARGET-10-PARAKF-04,TARGET-10-PARGFV-04,TARGET-10-PARNMF-04,TARGET-10-PARXMC-04	No	7	FALSE	FALSE	No	0.01255265901386819
ALL	ENSG00000156273.15	BACH1	ENST00000286800.7	ENST00000399921.5	1	1	0	1	TARGET-10-PAPDJM-04,TARGET-10-PAPEJN-04,TARGET-10-PAPISG-04,TARGET-10-PAPLDL-04,TARGET-10-PAPLTZ-04,TARGET-10-PAPZNK-04,TARGET-10-PARPRW-04	Driver	7	FALSE	FALSE	No	0.01255265901386819
ALL	ENSG00000225720.6	RP4-742C19.12	ENST00000424436.1	ENST00000560933.5	0	0	0	1	TARGET-10-PANUSN-04,TARGET-10-PAPDUV-04,TARGET-10-PAPEFH-04,TARGET-10-PAPGFP-04,TARGET-10-PAPJHB-04,TARGET-10-PAPMVB-04,TARGET-10-PAPNNX-04	No	7	FALSE	FALSE	No	0.01255265901386819
ALL	ENSG00000102401.19	ARMCX3	ENST00000537169.1	ENST00000471229.6	1	1	0	1	TARGET-10-PAPNNX-04,TARGET-10-PAPSPN-04,TARGET-10-PAPZNK-04,TARGET-10-PARBVI-04,TARGET-10-PARPRW-04,TARGET-10-PATCTI-04	No	6	FALSE	FALSE	No	0.03882977718575788
ALL	ENSG00000196924.14	FLNA	ENST00000369856.7	ENST00000360319.8	1	1	1	1	TARGET-10-PANUSN-04,TARGET-10-PAPJIB-04,TARGET-10-PARGHW-04,TARGET-10-PARGVZ-04,TARGET-10-PARNMF-04	No	5	FALSE	FALSE	No	0.10398174620766079
ALL	ENSG00000117298.14	ECE1	ENST00000415912.6	ENST00000264205.10	1	1	1	1	TARGET-10-PAPEFH-04,TARGET-10-PAPIJB-04,TARGET-10-PAPLDM-04,TARGET-10-PARAKF-04	No	4	FALSE	FALSE	No	0.2372378134479852
