Experiment	GeneId	Symbol	Control_transcript	Case_transcript	CDS_control	CDS_case	CDS_change	5_UTR_change	3_UTR_change	Samples
ALL	ENSG00000078674.17	PCM1	ENST00000518537.5	ENST00000517836.5	1	0	1	1	1	SRR1797128
ALL	ENSG00000078674.17	PCM1	ENST00000519802.5	ENST00000519253.5	0	1	1	1	1	SRR5912876
ALL	ENSG00000101901.11	ALG13	ENST00000461669.5	ENST00000482374.5	0	0	0	1	0	SRR1288007,SRR1292997,SRR1791050
ALL	ENSG00000101901.11	ALG13	ENST00000624161.3	ENST00000623144.3	0	0	0	1	0	SRR1288051,SRR1288079,SRR1292964
ALL	ENSG00000101901.11	ALG13	ENST00000461669.5	ENST00000394780.7	0	1	1	1	1	SRR1293058,SRR1797083
ALL	ENSG00000101901.11	ALG13	ENST00000486578.4	ENST00000394780.7	0	1	1	1	1	SRR1288065
ALL	ENSG00000101901.11	ALG13	ENST00000371979.7	ENST00000487243.1	1	0	1	1	1	SRR1293032
ALL	ENSG00000101901.11	ALG13	ENST00000490774.2	ENST00000394780.7	0	1	1	1	1	SRR1293043
ALL	ENSG00000101901.11	ALG13	ENST00000461669.5	ENST00000610588.4	0	1	1	1	1	SRR1791040
ALL	ENSG00000101901.11	ALG13	ENST00000486578.4	ENST00000461669.5	0	0	0	1	0	SRR1791042
ALL	ENSG00000101901.11	ALG13	ENST00000371979.7	ENST00000610588.4	1	1	1	1	1	SRR1791094
ALL	ENSG00000101901.11	ALG13	ENST00000473389.5	ENST00000622986.3	1	1	1	1	1	SRR5912867
ALL	ENSG00000101901.11	ALG13	ENST00000495283.5	ENST00000622986.3	0	1	1	1	1	SRR5912876
ALL	ENSG00000116584.17	ARHGEF2	ENST00000361247.8	ENST00000476273.1	1	0	1	1	1	SRR1288016,SRR1288031,SRR1791102,SRR1797084,SRR1797122,SRR1797128
ALL	ENSG00000116584.17	ARHGEF2	ENST00000470975.2	ENST00000487755.1	0	0	0	1	0	SRR1292980
ALL	ENSG00000116584.17	ARHGEF2	ENST00000609126.1	ENST00000474428.6	0	0	0	1	0	SRR1293034
ALL	ENSG00000116584.17	ARHGEF2	ENST00000608543.1	ENST00000313695.11	0	1	1	1	1	SRR1293053
ALL	ENSG00000116584.17	ARHGEF2	ENST00000487755.1	ENST00000608543.1	0	0	0	1	0	SRR1293055
ALL	ENSG00000116584.17	ARHGEF2	ENST00000313695.11	ENST00000608543.1	1	0	1	1	1	SRR1790993
ALL	ENSG00000116584.17	ARHGEF2	ENST00000474428.6	ENST00000609126.1	0	0	0	1	0	SRR1791023
ALL	ENSG00000116584.17	ARHGEF2	ENST00000474428.6	ENST00000470975.2	0	0	0	1	0	SRR1791086
ALL	ENSG00000116584.17	ARHGEF2	ENST00000470975.2	ENST00000313667.8	0	1	1	1	1	SRR5912867
ALL	ENSG00000116584.17	ARHGEF2	ENST00000361247.8	ENST00000470975.2	1	0	1	1	1	SRR5912871
ALL	ENSG00000161013.16	MGAT4B	ENST00000520134.1	ENST00000520822.5	0	0	0	1	0	SRR1288028,SRR1293032
ALL	ENSG00000161013.16	MGAT4B	ENST00000292591.11	ENST00000523382.5	1	0	1	1	1	SRR1288051,SRR1292964
ALL	ENSG00000161013.16	MGAT4B	ENST00000518168.5	ENST00000518702.5	0	0	0	1	0	SRR1293053,SRR5912876
ALL	ENSG00000161013.16	MGAT4B	ENST00000292591.11	ENST00000519965.1	1	0	1	1	1	SRR5912867,SRR5912871
ALL	ENSG00000161013.16	MGAT4B	ENST00000520134.1	ENST00000518168.5	0	0	0	1	0	SRR1292980
ALL	ENSG00000161013.16	MGAT4B	ENST00000523382.5	ENST00000520918.5	0	0	0	1	0	SRR1293029
ALL	ENSG00000161013.16	MGAT4B	ENST00000523382.5	ENST00000520019.1	0	0	0	1	0	SRR1293040
ALL	ENSG00000161013.16	MGAT4B	ENST00000337755.9	ENST00000521855.1	1	0	1	1	1	SRR1791057
ALL	ENSG00000161013.16	MGAT4B	ENST00000292591.11	ENST00000520822.5	1	0	1	1	1	SRR1791107
ALL	ENSG00000161013.16	MGAT4B	ENST00000520822.5	ENST00000518168.5	0	0	0	1	0	SRR1797097
ALL	ENSG00000161013.16	MGAT4B	ENST00000522451.5	ENST00000521855.1	0	0	0	1	0	SRR1797119
ALL	ENSG00000078304.19	PPP2R5C	ENST00000445439.7	ENST00000556946.1	1	1	1	1	1	SRR1288036,SRR1288048,SRR1791016,SRR1791102,SRR1797092
ALL	ENSG00000078304.19	PPP2R5C	ENST00000445439.7	ENST00000554442.5	1	1	1	1	1	SRR1288034,SRR1797097
ALL	ENSG00000078304.19	PPP2R5C	ENST00000334743.9	ENST00000328724.9	1	1	1	1	1	SRR1293058,SRR1797083
ALL	ENSG00000078304.19	PPP2R5C	ENST00000554442.5	ENST00000554147.1	1	0	1	1	1	SRR1288051
ALL	ENSG00000078304.19	PPP2R5C	ENST00000554504.1	ENST00000556068.5	0	0	0	1	0	SRR1292964
ALL	ENSG00000078304.19	PPP2R5C	ENST00000554147.1	ENST00000334743.9	0	1	1	1	1	SRR1292980
ALL	ENSG00000078304.19	PPP2R5C	ENST00000445439.7	ENST00000553730.5	1	0	1	1	1	SRR5912867
ALL	ENSG00000078304.19	PPP2R5C	ENST00000556068.5	ENST00000553842.1	0	0	0	1	0	SRR5912871
ALL	ENSG00000078304.19	PPP2R5C	ENST00000556307.5	ENST00000556068.5	0	0	0	1	0	SRR5912876
ALL	ENSG00000160710.15	ADAR	ENST00000368474.8	ENST00000368471.7	1	1	1	1	1	SRR1288007,SRR1293052,SRR1293058,SRR1790993,SRR1790994,SRR1790995,SRR1790996,SRR1791045,SRR1791107,SRR1797083
ALL	ENSG00000160710.15	ADAR	ENST00000526905.1	ENST00000492630.1	0	0	0	1	0	SRR1292980
ALL	ENSG00000160710.15	ADAR	ENST00000494866.1	ENST00000463920.5	0	0	0	1	0	SRR1293029
ALL	ENSG00000160710.15	ADAR	ENST00000526905.1	ENST00000463920.5	0	0	0	1	0	SRR1293032
ALL	ENSG00000160710.15	ADAR	ENST00000534279.1	ENST00000530954.1	0	0	0	1	0	SRR5912871
ALL	ENSG00000169554.18	ZEB2	ENST00000419938.5	ENST00000539609.7	1	1	1	1	1	SRR1293052,SRR1790995,SRR1797119
ALL	ENSG00000169554.18	ZEB2	ENST00000629520.2	ENST00000465070.5	1	1	0	1	1	SRR1288040,SRR1288055
ALL	ENSG00000169554.18	ZEB2	ENST00000497268.1	ENST00000470879.5	0	1	1	1	1	SRR1288051,SRR1292964
ALL	ENSG00000169554.18	ZEB2	ENST00000419938.5	ENST00000453352.5	1	0	1	1	1	SRR5912871,SRR5912876
ALL	ENSG00000169554.18	ZEB2	ENST00000497268.1	ENST00000472146.5	0	0	0	1	0	SRR1288056
ALL	ENSG00000169554.18	ZEB2	ENST00000303660.8	ENST00000461784.3	1	0	1	1	1	SRR1292980
ALL	ENSG00000169554.18	ZEB2	ENST00000497268.1	ENST00000484313.3	0	0	0	1	0	SRR1293043
ALL	ENSG00000169554.18	ZEB2	ENST00000419938.5	ENST00000472146.5	1	0	1	1	1	SRR1293047
ALL	ENSG00000169554.18	ZEB2	ENST00000419938.5	ENST00000558170.6	1	1	1	1	1	SRR5912867
ALL	ENSG00000138796.16	HADH	ENST00000626637.1	ENST00000510728.5	1	0	1	1	1	SRR1288044,SRR1791032,SRR1797116
ALL	ENSG00000138796.16	HADH	ENST00000505878.4	ENST00000603302.5	1	1	1	1	1	SRR1288036,SRR1797097
ALL	ENSG00000138796.16	HADH	ENST00000626637.1	ENST00000514776.2	1	0	1	1	1	SRR1288051,SRR1292964
ALL	ENSG00000138796.16	HADH	ENST00000505878.4	ENST00000507260.2	1	0	1	1	1	SRR1293029,SRR5912871
ALL	ENSG00000138796.16	HADH	ENST00000638648.1	ENST00000510728.5	0	0	0	1	0	SRR1791047,SRR1791068
ALL	ENSG00000138796.16	HADH	ENST00000603302.5	ENST00000507260.2	1	0	1	1	1	SRR1293032
ALL	ENSG00000138796.16	HADH	ENST00000309522.7	ENST00000515462.6	1	0	1	1	1	SRR1791107
ALL	ENSG00000138796.16	HADH	ENST00000511742.1	ENST00000507260.2	0	0	0	1	0	SRR5912867
ALL	ENSG00000197451.11	HNRNPAB	ENST00000358344.7	ENST00000504796.1	1	0	1	1	1	SRR1288013,SRR1288028,SRR1288036,SRR1288044,SRR1791016,SRR1791106,SRR1791107,SRR1797097,SRR1797116,SRR5912871
ALL	ENSG00000197451.11	HNRNPAB	ENST00000506259.5	ENST00000504898.5	1	1	1	1	1	SRR1288051,SRR1292964
ALL	ENSG00000197451.11	HNRNPAB	ENST00000355836.9	ENST00000504898.5	1	1	1	1	0	SRR1293029
ALL	ENSG00000197451.11	HNRNPAB	ENST00000504898.5	ENST00000506259.5	1	1	1	1	1	SRR1293032
ALL	ENSG00000026508.17	CD44	ENST00000263398.10	ENST00000526025.1	1	1	1	1	1	SRR1288025,SRR1288036,SRR1293047,SRR1797097
ALL	ENSG00000026508.17	CD44	ENST00000434472.6	ENST00000534082.1	1	0	1	1	1	SRR1288051,SRR1292964
ALL	ENSG00000026508.17	CD44	ENST00000263398.10	ENST00000425428.6	1	0	1	1	1	SRR1791015,SRR1791068
ALL	ENSG00000026508.17	CD44	ENST00000525348.1	ENST00000434472.6	0	1	1	1	1	SRR1288040
ALL	ENSG00000026508.17	CD44	ENST00000534296.5	ENST00000532339.1	0	0	0	1	0	SRR1293053
ALL	ENSG00000026508.17	CD44	ENST00000531141.1	ENST00000434472.6	0	1	1	1	1	SRR1791107
ALL	ENSG00000026508.17	CD44	ENST00000531118.5	ENST00000527326.1	0	0	0	1	0	SRR5912867
ALL	ENSG00000026508.17	CD44	ENST00000263398.10	ENST00000532339.1	1	0	1	1	1	SRR5912871
ALL	ENSG00000026508.17	CD44	ENST00000525293.5	ENST00000531118.5	0	0	0	1	0	SRR5912876
ALL	ENSG00000172590.18	MRPL52	ENST00000557221.1	ENST00000397496.7	1	1	1	1	1	SRR1288044,SRR1797116
ALL	ENSG00000172590.18	MRPL52	ENST00000556840.5	ENST00000355151.9	1	1	1	1	1	SRR1293052,SRR1790995
ALL	ENSG00000172590.18	MRPL52	ENST00000553711.5	ENST00000556654.5	1	0	1	1	1	SRR1288016
ALL	ENSG00000172590.18	MRPL52	ENST00000555345.5	ENST00000311892.10	1	1	1	1	1	SRR1288051
ALL	ENSG00000172590.18	MRPL52	ENST00000555345.5	ENST00000555536.1	1	1	1	1	1	SRR1292964
ALL	ENSG00000172590.18	MRPL52	ENST00000432849.7	ENST00000553711.5	1	1	1	1	1	SRR1293050
ALL	ENSG00000172590.18	MRPL52	ENST00000556840.5	ENST00000556654.5	1	0	1	1	1	SRR1293055
ALL	ENSG00000172590.18	MRPL52	ENST00000553711.5	ENST00000397496.7	1	1	1	1	1	SRR1791047
ALL	ENSG00000172590.18	MRPL52	ENST00000556840.5	ENST00000432849.7	1	1	1	1	1	SRR1791107
ALL	ENSG00000172590.18	MRPL52	ENST00000311892.10	ENST00000397496.7	1	1	1	1	1	SRR5912867
ALL	ENSG00000172590.18	MRPL52	ENST00000555345.5	ENST00000397496.7	1	1	1	1	1	SRR5912871
ALL	ENSG00000172590.18	MRPL52	ENST00000556840.5	ENST00000397496.7	1	1	1	1	1	SRR5912876
ALL	ENSG00000103335.21	PIEZO1	ENST00000497793.2	ENST00000521877.1	0	0	0	1	0	SRR1288040,SRR1791107
ALL	ENSG00000103335.21	PIEZO1	ENST00000301015.13	ENST00000484567.5	1	0	1	1	1	SRR1293058,SRR1797083
ALL	ENSG00000103335.21	PIEZO1	ENST00000301015.13	ENST00000490756.1	1	0	1	1	1	SRR1797071,SRR1797119
ALL	ENSG00000103335.21	PIEZO1	ENST00000301015.13	ENST00000521877.1	1	0	1	1	1	SRR1288028
ALL	ENSG00000103335.21	PIEZO1	ENST00000301015.13	ENST00000497793.2	1	0	1	1	1	SRR1288051
ALL	ENSG00000103335.21	PIEZO1	ENST00000301015.13	ENST00000491917.1	1	0	1	1	1	SRR1292964
ALL	ENSG00000103335.21	PIEZO1	ENST00000327397.8	ENST00000521877.1	1	0	1	1	1	SRR1292980
ALL	ENSG00000103335.21	PIEZO1	ENST00000301015.13	ENST00000472168.1	1	0	1	1	1	SRR1791023
ALL	ENSG00000103335.21	PIEZO1	ENST00000491917.1	ENST00000484567.5	0	0	0	1	0	SRR1791094
ALL	ENSG00000103335.21	PIEZO1	ENST00000495568.7	ENST00000472168.1	0	0	0	1	0	SRR1791118
ALL	ENSG00000103335.21	PIEZO1	ENST00000495568.7	ENST00000521877.1	0	0	0	1	0	SRR1797099
ALL	ENSG00000143369.14	ECM1	ENST00000369047.8	ENST00000346569.6	1	1	1	1	1	SRR1288044,SRR1293034,SRR1797116,SRR1797128
ALL	ENSG00000143369.14	ECM1	ENST00000496744.5	ENST00000369049.8	0	1	1	1	1	SRR1292980,SRR1610445,SRR1791006
ALL	ENSG00000143369.14	ECM1	ENST00000490346.1	ENST00000470432.5	0	0	0	1	0	SRR5912871,SRR5912876
ALL	ENSG00000143369.14	ECM1	ENST00000496744.5	ENST00000490346.1	0	0	0	1	0	SRR1288037
ALL	ENSG00000143369.14	ECM1	ENST00000496744.5	ENST00000470432.5	0	0	0	1	0	SRR1292979
ALL	ENSG00000143369.14	ECM1	ENST00000496744.5	ENST00000498579.5	0	0	0	1	0	SRR1293050
ALL	ENSG00000143369.14	ECM1	ENST00000498579.5	ENST00000490346.1	0	0	0	1	0	SRR1791057
ALL	ENSG00000081237.18	PTPRC	ENST00000442510.6	ENST00000391970.3	1	0	1	1	1	SRR1791102,SRR5912867,SRR5912871,SRR5912876
ALL	ENSG00000081237.18	PTPRC	ENST00000367364.5	ENST00000462363.6	1	0	1	1	1	SRR1288018,SRR1791064
ALL	ENSG00000081237.18	PTPRC	ENST00000462363.6	ENST00000491302.1	0	0	0	1	0	SRR1288020,SRR1791001
ALL	ENSG00000081237.18	PTPRC	ENST00000442510.6	ENST00000348564.10	1	1	1	1	0	SRR1791023,SRR1791032
ALL	ENSG00000081237.18	PTPRC	ENST00000529828.5	ENST00000413409.6	1	1	1	1	1	SRR1288027
ALL	ENSG00000081237.18	PTPRC	ENST00000491302.1	ENST00000413409.6	0	1	1	1	1	SRR1288051
ALL	ENSG00000081237.18	PTPRC	ENST00000367364.5	ENST00000427110.6	1	0	1	1	1	SRR1292957
ALL	ENSG00000171132.13	PRKCE	ENST00000306156.7	ENST00000394874.1	1	1	1	1	1	SRR1288010,SRR1791068,SRR1791070
ALL	ENSG00000171132.13	PRKCE	ENST00000480633.1	ENST00000494472.1	0	0	0	1	0	SRR1288051,SRR1292980,SRR1610445
ALL	ENSG00000171132.13	PRKCE	ENST00000498388.1	ENST00000485176.1	0	0	0	1	0	SRR1288029,SRR1293029
ALL	ENSG00000171132.13	PRKCE	ENST00000498388.1	ENST00000469753.5	0	0	0	1	0	SRR1288037
ALL	ENSG00000171132.13	PRKCE	ENST00000489067.1	ENST00000494472.1	0	0	0	1	0	SRR1791006
ALL	ENSG00000171132.13	PRKCE	ENST00000489067.1	ENST00000485176.1	0	0	0	1	0	SRR1791098
ALL	ENSG00000171132.13	PRKCE	ENST00000306156.7	ENST00000497602.1	1	0	1	1	1	SRR5912871
ALL	ENSG00000171132.13	PRKCE	ENST00000485176.1	ENST00000467135.5	0	0	0	1	0	SRR5912876
ALL	ENSG00000170035.15	UBE2E3	ENST00000410062.8	ENST00000602837.1	1	0	1	1	1	SRR1288051,SRR1292964
ALL	ENSG00000170035.15	UBE2E3	ENST00000602291.5	ENST00000602710.5	1	1	1	1	1	SRR1293052,SRR1790995
ALL	ENSG00000170035.15	UBE2E3	ENST00000410062.8	ENST00000392415.6	1	1	0	1	1	SRR1791068,SRR1791107
ALL	ENSG00000170035.15	UBE2E3	ENST00000602291.5	ENST00000602632.1	1	1	1	1	1	SRR1292990
ALL	ENSG00000170035.15	UBE2E3	ENST00000602970.1	ENST00000602762.5	0	0	0	1	0	SRR1293032
ALL	ENSG00000170035.15	UBE2E3	ENST00000602837.1	ENST00000602888.5	0	0	0	1	0	SRR1791047
ALL	ENSG00000170035.15	UBE2E3	ENST00000602710.5	ENST00000602475.5	1	1	1	1	1	SRR1797119
ALL	ENSG00000170035.15	UBE2E3	ENST00000602475.5	ENST00000602632.1	1	1	1	1	1	SRR5912867
ALL	ENSG00000170035.15	UBE2E3	ENST00000410062.8	ENST00000602632.1	1	1	1	1	1	SRR5912871
ALL	ENSG00000170035.15	UBE2E3	ENST00000410062.8	ENST00000602475.5	1	1	1	1	1	SRR5912876
ALL	ENSG00000177479.19	ARIH2	ENST00000466850.1	ENST00000492077.5	0	0	0	1	0	SRR1293029,SRR1293032,SRR1293058,SRR1791086,SRR1797075,SRR1797083,SRR1797106
ALL	ENSG00000177479.19	ARIH2	ENST00000466850.1	ENST00000356401.8	0	1	1	1	1	SRR1288031,SRR1791047,SRR1797084,SRR1797119
ALL	ENSG00000177479.19	ARIH2	ENST00000482342.1	ENST00000452385.5	0	0	0	1	0	SRR1288051,SRR1292964
ALL	ENSG00000113810.15	SMC4	ENST00000462668.5	ENST00000472282.5	0	0	0	1	0	SRR1288051,SRR1292964
ALL	ENSG00000113810.15	SMC4	ENST00000470240.5	ENST00000462787.5	0	1	1	1	1	SRR5912867,SRR5912876
ALL	ENSG00000113810.15	SMC4	ENST00000467263.1	ENST00000344722.5	0	1	1	1	1	SRR1288016
ALL	ENSG00000113810.15	SMC4	ENST00000472282.5	ENST00000344722.5	0	1	1	1	1	SRR1288020
