Experiment	GeneId	Control_transcript	Case_transcript	Other_gene	Other_symbol	Other_transcript	What	#nDDIs	#tDDIs	#BothDDIs	nDDIs	tDDIs	BothDDIs
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000464072.1	ENSG00000170581.13	STAT2	ENST00000314128.8	Lost_in_cases	4	0	0	PF01017@PF02864;PF02865@PF02864;PF01017@PF00017;PF02865@PF02865		
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000168610.14	STAT3	ENST00000404395.3	Affected	0	7	4		PF02864@PF02865;PF02864@PF01017;PF00017@PF02864;PF00017@PF01017;PF02864@PF02864;PF00017@PF00017;PF02864@PF00017	PF01017@PF00017;PF01017@PF02864;PF02865@PF02864;PF02865@PF02865
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000141736.13	ERBB2	ENST00000269571.9	Gained_in_cases	0	3	0		PF00017@PF01030;PF00017@PF07714;PF00017@PF00757	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000115415.18	STAT1	ENST00000361099.7	Affected	0	7	4		PF02864@PF02865;PF02864@PF01017;PF00017@PF02864;PF00017@PF01017;PF02864@PF02864;PF00017@PF00017;PF02864@PF00017	PF01017@PF00017;PF01017@PF02864;PF02865@PF02864;PF02865@PF02865
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000005339.14	CREBBP	ENST00000262367.9	Gained_in_cases	0	1	0		PF00017@PF00439	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000175354.18	PTPN2	ENST00000309660.9	Gained_in_cases	0	1	0		PF00017@PF00102	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000170581.13	STAT2	ENST00000557235.5	Affected	0	7	4		PF02864@PF02865;PF02864@PF01017;PF00017@PF02864;PF00017@PF01017;PF02864@PF02864;PF00017@PF00017;PF02864@PF00017	PF01017@PF00017;PF01017@PF02864;PF02865@PF02864;PF02865@PF02865
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000175354.18	PTPN2	ENST00000591115.5	Gained_in_cases	0	1	0		PF00017@PF00102	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000141736.13	ERBB2	ENST00000584450.5	Gained_in_cases	0	3	0		PF00017@PF01030;PF00017@PF07714;PF00017@PF00757	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000146648.17	EGFR	ENST00000455089.5	Gained_in_cases	0	3	0		PF00017@PF01030;PF00017@PF07714;PF00017@PF00757	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000175354.18	PTPN2	ENST00000353319.8	Gained_in_cases	0	1	0		PF00017@PF00102	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000168610.14	STAT3	ENST00000264657.9	Affected	0	7	4		PF02864@PF02865;PF02864@PF01017;PF00017@PF02864;PF00017@PF01017;PF02864@PF02864;PF00017@PF00017;PF02864@PF00017	PF01017@PF00017;PF01017@PF02864;PF02865@PF02864;PF02865@PF02865
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000055332.16	EIF2AK2	ENST00000405334.5	Affected	0	2	2		PF02864@PF00069;PF00017@PF00069	PF02865@PF00069;PF01017@PF00069
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000141736.13	ERBB2	ENST00000445658.6	Gained_in_cases	0	2	0		PF00017@PF01030;PF00017@PF07714	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000141736.13	ERBB2	ENST00000578199.5	Gained_in_cases	0	2	0		PF00017@PF01030;PF00017@PF00757	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000169398.19	PTK2	ENST00000521059.5	Gained_in_cases	0	2	0		PF00017@PF07714;PF00017@PF03623	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000100393.12	EP300	ENST00000263253.8	Gained_in_cases	0	1	0		PF00017@PF00439	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000146648.17	EGFR	ENST00000275493.6	Gained_in_cases	0	3	0		PF00017@PF01030;PF00017@PF07714;PF00017@PF00757	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000096968.13	JAK2	ENST00000381652.3	Affected	0	3	1		PF00017@PF07714;PF00017@PF00017;PF02864@PF00017	PF01017@PF00017
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000197122.11	SRC	ENST00000358208.8	Affected	0	4	1		PF00017@PF00018;PF00017@PF07714;PF00017@PF00017;PF02864@PF00017	PF01017@PF00017
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000157404.15	KIT	ENST00000412167.6	Gained_in_cases	0	2	0		PF00017@PF00047;PF00017@PF07714	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000213928.8	IRF9	ENST00000396864.7	Unaffected	0	0	1			PF01017@PF10401
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000157404.15	KIT	ENST00000288135.5	Gained_in_cases	0	2	0		PF00017@PF00047;PF00017@PF07714	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000146648.17	EGFR	ENST00000454757.6	Gained_in_cases	0	3	0		PF00017@PF01030;PF00017@PF07714;PF00017@PF00757	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000168610.14	STAT3	ENST00000389272.7	Affected	0	6	3		PF02864@PF01017;PF00017@PF02864;PF00017@PF01017;PF02864@PF02864;PF00017@PF00017;PF02864@PF00017	PF01017@PF00017;PF01017@PF02864;PF02865@PF02864
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000170581.13	STAT2	ENST00000418572.6	Affected	0	5	3		PF02864@PF02865;PF02864@PF01017;PF00017@PF02864;PF00017@PF01017;PF02864@PF02864	PF01017@PF02864;PF02865@PF02864;PF02865@PF02865
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000169398.19	PTK2	ENST00000340930.7	Gained_in_cases	0	2	0		PF00017@PF07714;PF00017@PF03623	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000055332.16	EIF2AK2	ENST00000233057.8	Affected	0	2	2		PF02864@PF00069;PF00017@PF00069	PF02865@PF00069;PF01017@PF00069
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000169398.19	PTK2	ENST00000519465.5	Gained_in_cases	0	2	0		PF00017@PF07714;PF00017@PF03623	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000163932.13	PRKCD	ENST00000394729.6	Affected	0	4	2		PF00017@PF00130;PF00017@PF00433;PF02864@PF00069;PF00017@PF00069	PF02865@PF00069;PF01017@PF00069
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000115415.18	STAT1	ENST00000392323.6	Affected	0	7	4		PF02864@PF02865;PF02864@PF01017;PF00017@PF02864;PF00017@PF01017;PF02864@PF02864;PF00017@PF00017;PF02864@PF00017	PF01017@PF00017;PF01017@PF02864;PF02865@PF02864;PF02865@PF02865
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000163932.13	PRKCD	ENST00000330452.7	Affected	0	4	2		PF00017@PF00130;PF00017@PF00433;PF02864@PF00069;PF00017@PF00069	PF02865@PF00069;PF01017@PF00069
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000146648.17	EGFR	ENST00000344576.6	Gained_in_cases	0	2	0		PF00017@PF01030;PF00017@PF00757	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000115415.18	STAT1	ENST00000409465.5	Affected	0	7	4		PF02864@PF02865;PF02864@PF01017;PF00017@PF02864;PF00017@PF01017;PF02864@PF02864;PF00017@PF00017;PF02864@PF00017	PF01017@PF00017;PF01017@PF02864;PF02865@PF02864;PF02865@PF02865
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000175354.18	PTPN2	ENST00000327283.7	Gained_in_cases	0	1	0		PF00017@PF00102	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000115415.18	STAT1	ENST00000452281.5	Affected	0	3	1		PF00017@PF01017;PF02864@PF01017;PF02864@PF02865	PF02865@PF02865
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000162772.16	ATF3	ENST00000613104.1	Gained_in_cases	0	1	0		PF00017@PF00170	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000169398.19	PTK2	ENST00000430260.6	Gained_in_cases	0	1	0		PF00017@PF03623	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000169398.19	PTK2	ENST00000522684.5	Gained_in_cases	0	2	0		PF00017@PF07714;PF00017@PF03623	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000162772.16	ATF3	ENST00000341491.8	Gained_in_cases	0	1	0		PF00017@PF00170	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000115415.18	STAT1	ENST00000392322.7	Affected	0	7	4		PF02864@PF02865;PF02864@PF01017;PF00017@PF02864;PF00017@PF01017;PF02864@PF02864;PF00017@PF00017;PF02864@PF00017	PF01017@PF00017;PF01017@PF02864;PF02865@PF02864;PF02865@PF02865
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000127616.17	SMARCA4	ENST00000429416.7	Gained_in_cases	0	1	0		PF00017@PF00439	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000169398.19	PTK2	ENST00000517712.5	Gained_in_cases	0	1	0		PF00017@PF03623	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000005339.14	CREBBP	ENST00000382070.7	Gained_in_cases	0	1	0		PF00017@PF00439	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000141736.13	ERBB2	ENST00000584601.5	Gained_in_cases	0	3	0		PF00017@PF01030;PF00017@PF07714;PF00017@PF00757	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000162772.16	ATF3	ENST00000366987.6	Gained_in_cases	0	1	0		PF00017@PF00170	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000104998.3	IL27RA	ENST00000263379.3	Gained_in_cases	0	1	0		PF00017@PF00041	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000127616.17	SMARCA4	ENST00000344626.8	Gained_in_cases	0	1	0		PF00017@PF00439	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000198793.12	MTOR	ENST00000376838.5	Gained_in_cases	0	1	0		PF00017@PF00454	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000168610.14	STAT3	ENST00000588969.5	Affected	0	7	4		PF02864@PF02865;PF02864@PF01017;PF00017@PF02864;PF00017@PF01017;PF02864@PF02864;PF00017@PF00017;PF02864@PF00017	PF01017@PF00017;PF01017@PF02864;PF02865@PF02864;PF02865@PF02865
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000198793.12	MTOR	ENST00000361445.8	Gained_in_cases	0	1	0		PF00017@PF00454	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000146648.17	EGFR	ENST00000342916.7	Gained_in_cases	0	2	0		PF00017@PF01030;PF00017@PF00757	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000146648.17	EGFR	ENST00000420316.6	Gained_in_cases	0	2	0		PF00017@PF01030;PF00017@PF00757	
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000197122.11	SRC	ENST00000373567.6	Affected	0	4	1		PF00017@PF00018;PF00017@PF07714;PF00017@PF00017;PF02864@PF00017	PF01017@PF00017
ALL	ENSG00000115415.18	ENST00000452281.5	ENST00000392323.6	ENSG00000170581.13	STAT2	ENST00000314128.8	Affected	0	7	4		PF02864@PF02865;PF02864@PF01017;PF00017@PF02864;PF00017@PF01017;PF02864@PF02864;PF00017@PF00017;PF02864@PF00017	PF01017@PF00017;PF01017@PF02864;PF02865@PF02864;PF02865@PF02865
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000168610.14	STAT3	ENST00000389272.7	Lost_in_cases	9	0	0	PF01017@PF00017;PF02864@PF01017;PF00017@PF02864;PF01017@PF02864;PF00017@PF01017;PF02865@PF02864;PF02864@PF02864;PF00017@PF00017;PF02864@PF00017		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000168610.14	STAT3	ENST00000404395.3	Lost_in_cases	11	0	0	PF02864@PF02865;PF01017@PF00017;PF02864@PF01017;PF00017@PF02864;PF01017@PF02864;PF00017@PF01017;PF02864@PF02864;PF02865@PF02864;PF00017@PF00017;PF02864@PF00017;PF02865@PF02865		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000141736.13	ERBB2	ENST00000269571.9	Lost_in_cases	3	0	0	PF00017@PF01030;PF00017@PF07714;PF00017@PF00757		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000170581.13	STAT2	ENST00000418572.6	Lost_in_cases	8	0	0	PF02864@PF02865;PF02864@PF01017;PF00017@PF02864;PF01017@PF02864;PF00017@PF01017;PF02865@PF02864;PF02864@PF02864;PF02865@PF02865		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000169398.19	PTK2	ENST00000340930.7	Lost_in_cases	2	0	0	PF00017@PF07714;PF00017@PF03623		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000055332.16	EIF2AK2	ENST00000233057.8	Lost_in_cases	4	0	0	PF02865@PF00069;PF01017@PF00069;PF00017@PF00069;PF02864@PF00069		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000169398.19	PTK2	ENST00000519465.5	Lost_in_cases	2	0	0	PF00017@PF07714;PF00017@PF03623		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000115415.18	STAT1	ENST00000361099.7	Lost_in_cases	11	0	0	PF02864@PF02865;PF01017@PF00017;PF02864@PF01017;PF00017@PF02864;PF01017@PF02864;PF00017@PF01017;PF02864@PF02864;PF02865@PF02864;PF00017@PF00017;PF02864@PF00017;PF02865@PF02865		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000163932.13	PRKCD	ENST00000394729.6	Lost_in_cases	6	0	0	PF00017@PF00130;PF02865@PF00069;PF02864@PF00069;PF00017@PF00433;PF01017@PF00069;PF00017@PF00069		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000005339.14	CREBBP	ENST00000262367.9	Lost_in_cases	1	0	0	PF00017@PF00439		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000115415.18	STAT1	ENST00000392323.6	Lost_in_cases	11	0	0	PF02864@PF02865;PF01017@PF00017;PF02864@PF01017;PF00017@PF02864;PF01017@PF02864;PF00017@PF01017;PF02864@PF02864;PF02865@PF02864;PF00017@PF00017;PF02864@PF00017;PF02865@PF02865		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000163932.13	PRKCD	ENST00000330452.7	Lost_in_cases	6	0	0	PF00017@PF00130;PF02865@PF00069;PF02864@PF00069;PF00017@PF00433;PF01017@PF00069;PF00017@PF00069		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000146648.17	EGFR	ENST00000344576.6	Lost_in_cases	2	0	0	PF00017@PF01030;PF00017@PF00757		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000115415.18	STAT1	ENST00000409465.5	Lost_in_cases	11	0	0	PF02864@PF02865;PF01017@PF00017;PF02864@PF01017;PF00017@PF02864;PF01017@PF02864;PF00017@PF01017;PF02864@PF02864;PF02865@PF02864;PF00017@PF00017;PF02864@PF00017;PF02865@PF02865		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000175354.18	PTPN2	ENST00000309660.9	Lost_in_cases	1	0	0	PF00017@PF00102		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000175354.18	PTPN2	ENST00000327283.7	Lost_in_cases	1	0	0	PF00017@PF00102		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000162772.16	ATF3	ENST00000613104.1	Lost_in_cases	1	0	0	PF00017@PF00170		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000115415.18	STAT1	ENST00000452281.5	Lost_in_cases	4	0	0	PF00017@PF01017;PF02864@PF01017;PF02864@PF02865;PF02865@PF02865		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000169398.19	PTK2	ENST00000430260.6	Lost_in_cases	1	0	0	PF00017@PF03623		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000170581.13	STAT2	ENST00000557235.5	Lost_in_cases	11	0	0	PF02864@PF02865;PF01017@PF00017;PF02864@PF01017;PF00017@PF02864;PF01017@PF02864;PF00017@PF01017;PF02864@PF02864;PF02865@PF02864;PF00017@PF00017;PF02864@PF00017;PF02865@PF02865		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000175354.18	PTPN2	ENST00000591115.5	Lost_in_cases	1	0	0	PF00017@PF00102		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000169398.19	PTK2	ENST00000522684.5	Lost_in_cases	2	0	0	PF00017@PF07714;PF00017@PF03623		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000141736.13	ERBB2	ENST00000584450.5	Lost_in_cases	3	0	0	PF00017@PF01030;PF00017@PF07714;PF00017@PF00757		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000162772.16	ATF3	ENST00000341491.8	Lost_in_cases	1	0	0	PF00017@PF00170		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000146648.17	EGFR	ENST00000455089.5	Lost_in_cases	3	0	0	PF00017@PF01030;PF00017@PF07714;PF00017@PF00757		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000175354.18	PTPN2	ENST00000353319.8	Lost_in_cases	1	0	0	PF00017@PF00102		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000168610.14	STAT3	ENST00000264657.9	Lost_in_cases	11	0	0	PF02864@PF02865;PF01017@PF00017;PF02864@PF01017;PF00017@PF02864;PF01017@PF02864;PF00017@PF01017;PF02864@PF02864;PF02865@PF02864;PF00017@PF00017;PF02864@PF00017;PF02865@PF02865		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000055332.16	EIF2AK2	ENST00000405334.5	Lost_in_cases	4	0	0	PF02865@PF00069;PF01017@PF00069;PF00017@PF00069;PF02864@PF00069		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000115415.18	STAT1	ENST00000392322.7	Lost_in_cases	11	0	0	PF02864@PF02865;PF01017@PF00017;PF02864@PF01017;PF00017@PF02864;PF01017@PF02864;PF00017@PF01017;PF02864@PF02864;PF02865@PF02864;PF00017@PF00017;PF02864@PF00017;PF02865@PF02865		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000141736.13	ERBB2	ENST00000445658.6	Lost_in_cases	2	0	0	PF00017@PF01030;PF00017@PF07714		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000127616.17	SMARCA4	ENST00000429416.7	Lost_in_cases	1	0	0	PF00017@PF00439		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000141736.13	ERBB2	ENST00000578199.5	Lost_in_cases	2	0	0	PF00017@PF01030;PF00017@PF00757		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000169398.19	PTK2	ENST00000517712.5	Lost_in_cases	1	0	0	PF00017@PF03623		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000005339.14	CREBBP	ENST00000382070.7	Lost_in_cases	1	0	0	PF00017@PF00439		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000169398.19	PTK2	ENST00000521059.5	Lost_in_cases	2	0	0	PF00017@PF07714;PF00017@PF03623		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000141736.13	ERBB2	ENST00000584601.5	Lost_in_cases	3	0	0	PF00017@PF01030;PF00017@PF07714;PF00017@PF00757		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000162772.16	ATF3	ENST00000366987.6	Lost_in_cases	1	0	0	PF00017@PF00170		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000100393.12	EP300	ENST00000263253.8	Lost_in_cases	1	0	0	PF00017@PF00439		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000104998.3	IL27RA	ENST00000263379.3	Lost_in_cases	1	0	0	PF00017@PF00041		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000146648.17	EGFR	ENST00000275493.6	Lost_in_cases	3	0	0	PF00017@PF01030;PF00017@PF07714;PF00017@PF00757		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000096968.13	JAK2	ENST00000381652.3	Lost_in_cases	4	0	0	PF01017@PF00017;PF00017@PF00017;PF02864@PF00017;PF00017@PF07714		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000127616.17	SMARCA4	ENST00000344626.8	Lost_in_cases	1	0	0	PF00017@PF00439		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000198793.12	MTOR	ENST00000376838.5	Lost_in_cases	1	0	0	PF00017@PF00454		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000168610.14	STAT3	ENST00000588969.5	Lost_in_cases	11	0	0	PF02864@PF02865;PF01017@PF00017;PF02864@PF01017;PF00017@PF02864;PF01017@PF02864;PF00017@PF01017;PF02864@PF02864;PF02865@PF02864;PF00017@PF00017;PF02864@PF00017;PF02865@PF02865		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000197122.11	SRC	ENST00000358208.8	Lost_in_cases	5	0	0	PF00017@PF07714;PF01017@PF00017;PF00017@PF00018;PF00017@PF00017;PF02864@PF00017		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000198793.12	MTOR	ENST00000361445.8	Lost_in_cases	1	0	0	PF00017@PF00454		
ALL	ENSG00000115415.18	ENST00000392322.7	ENST00000464072.1	ENSG00000157404.15	KIT	ENST00000412167.6	Lost_in_cases	2	0	0	PF00017@PF00047;PF00017@PF07714		
